service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:49523579,0,0,0,0,0,0,1,20260308,20260322
IDFM:TN:49523682,1,1,0,0,0,1,0,20260314,20260324
IDFM:TN:49523697,0,0,0,0,0,1,1,20260228,20260313
IDFM:TN:49523708,0,0,0,0,0,1,1,20260228,20260313
IDFM:TN:49523717,1,1,1,1,1,1,1,20260228,20260313
IDFM:TN:49523768,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49523774,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49523777,0,0,0,0,0,1,1,20260307,20260322
IDFM:TN:49523811,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49523916,1,1,0,0,1,1,1,20260227,20260324
IDFM:TN:49523932,0,0,0,0,0,1,1,20260307,20260324
IDFM:TN:49523955,0,0,0,0,0,0,1,20260301,20260322
IDFM:TN:49523964,0,0,0,0,1,0,0,20260306,20260306
IDFM:TN:49524081,1,1,1,1,1,1,0,20260225,20260324
IDFM:TN:49524085,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49524096,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49524106,0,0,0,0,0,1,1,20260301,20260322
IDFM:TN:49524134,0,1,0,0,0,0,0,20260317,20260317
IDFM:TN:49524220,1,1,1,1,1,0,1,20260225,20260324
IDFM:TN:49524222,1,1,1,1,1,1,0,20260225,20260324
